company_id,name,state,company_size,url
1673,Ogilvy,NY,7,https://www.linkedin.com/company/ogilvy
1677,Gap Inc.,California,7,https://www.linkedin.com/company/gap-inc-
1680,Cognizant,New Jersey,7,https://www.linkedin.com/company/cognizant
1681,Robert Half,CA,7,https://www.linkedin.com/company/robert-half-international
1689,ExxonMobil,0,7,https://www.linkedin.com/company/exxonmobil
1703,Comcast,PA,7,https://www.linkedin.com/company/comcast
1714,Nielsen,NY,6,https://www.linkedin.com/company/nielsen
1756,HCLTech,Uttar Pradesh,7,https://www.linkedin.com/company/hcltech
1767,State Street,Massachusetts,7,https://www.linkedin.com/company/state-street
1773,Bristol Myers Squibb,NJ,7,https://www.linkedin.com/company/bristol-myers-squibb
1784,Boston Consulting Group (BCG),Massachusetts,7,https://www.linkedin.com/company/boston-consulting-group
1792,Stanford University,CA,7,https://www.linkedin.com/school/stanford-university/
1799,ManpowerGroup,Wisconsin,7,https://www.linkedin.com/company/manpowergroup
1808,RBC,Ontario,7,https://www.linkedin.com/company/rbc
1828,NBCUniversal,NY,7,https://www.linkedin.com/company/nbcuniversal-inc-
1833,CNBC,NJ,7,https://www.linkedin.com/company/cnbc
1841,Medtronic,MN,7,https://www.linkedin.com/company/medtronic
1852,Prudential Financial,New Jersey,7,https://www.linkedin.com/company/prudential-financial
1869,Capco Energy Solutions,TX,7,https://www.linkedin.com/company/capcoenergysolutions
1874,Marsh,New York,7,https://www.linkedin.com/company/marsh
1879,Autodesk,CA,7,https://www.linkedin.com/company/autodesk
1881,"BAE Systems, Inc.",Virginia,7,https://www.linkedin.com/company/baesystemsinc
1900,McKesson,Texas,7,https://www.linkedin.com/company/mckesson
1906,General Dynamics Land Systems,0,7,https://www.linkedin.com/company/generaldynamicslandsystems
1908,General Dynamics Mission Systems,VA,7,https://www.linkedin.com/company/gdms
1929,The Adecco Group,Zurich,7,https://www.linkedin.com/company/theadeccogroup
1951,Thales,0,6,https://www.linkedin.com/company/thales
1970,Rabobank,Utrecht,6,https://www.linkedin.com/company/rabobank
1974,TELUS,British Columbia,7,https://www.linkedin.com/company/telus
2017,Qualcomm,CA,5,https://www.linkedin.com/company/qualcomm
2018,Applied Materials,CA,7,https://www.linkedin.com/company/applied-materials
2019,Western Union,CO,7,https://www.linkedin.com/company/western-union
2029,Nike,OR,5,https://www.linkedin.com/company/nike
2032,Spectrum Enterprise,CT,7,https://www.linkedin.com/company/spectrumenterprise
2041,Aon,0,7,https://www.linkedin.com/company/aon
2046,CNN,0,7,https://www.linkedin.com/company/cnn
2059,TE Connectivity,0,7,https://www.linkedin.com/company/te-connectivity
2078,Gartner,CT,6,https://www.linkedin.com/company/gartner
2082,Fox Entertainment,California,7,https://www.linkedin.com/company/fox-broadcasting
2087,Volvo Group,0,7,https://www.linkedin.com/company/volvo-group
2105,NetApp,California,5,https://www.linkedin.com/company/netapp
2107,Toyota North America,TX,5,https://www.linkedin.com/company/toyota-north-america
2121,Avis Budget Group,NJ,6,https://www.linkedin.com/company/avis-budget-group
2137,Pearson,0,7,https://www.linkedin.com/company/pearson
2148,Infineon Technologies,0,7,https://www.linkedin.com/company/infineon-technologies
2152,TEKsystems,MD,7,https://www.linkedin.com/company/teksystems
2153,Allegis Group,Maryland,7,https://www.linkedin.com/company/allegis-group
2157,Cadence Design Systems,California,7,https://www.linkedin.com/company/cadence-design-systems
2162,Cardinal Health,OH,7,https://www.linkedin.com/company/cardinal-health
2190,Visa,California,7,https://www.linkedin.com/company/visa
2192,Chevron,CA,5,https://www.linkedin.com/company/chevron
2193,Canon Solutions America,NY,5,https://www.linkedin.com/company/canon-solutions-america
2206,LexisNexis,NY,7,https://www.linkedin.com/company/lexisnexis
2213,MetLife,NY,7,https://www.linkedin.com/company/metlife
2217,Halliburton,Texas,7,https://www.linkedin.com/company/halliburton
2219,"KBR, Inc.",Texas,7,https://www.linkedin.com/company/kbr-inc
2227,Novo Nordisk,0,7,https://www.linkedin.com/company/novo-nordisk
2230,Hanesbrands Inc.,NC,7,https://www.linkedin.com/company/hanesbrands-inc-
2235,Standard Chartered Bank,England,7,https://www.linkedin.com/company/standardchartered
2238,Danone,0,7,https://www.linkedin.com/company/danone
2240,Juniper Networks,CA,7,https://www.linkedin.com/company/juniper-networks
2247,Johnson Controls,Ireland,7,https://www.linkedin.com/company/johnson-controls
2251,Victoria’s Secret & Co.,Ohio,7,https://www.linkedin.com/company/victoria%27s-secret
2252,Bath & Body Works,Ohio,7,https://www.linkedin.com/company/bath-&-body-works
2271,Starbucks,WA,5,https://www.linkedin.com/company/starbucks
2272,Delta Air Lines,Georgia,7,https://www.linkedin.com/company/delta-air-lines
2276,Genentech,California,5,https://www.linkedin.com/company/genentech
2279,Flex,Texas,5,https://www.linkedin.com/company/flexintl
2300,Macy's,NY,7,https://www.linkedin.com/company/macy
2305,Insight,Arizona,7,https://www.linkedin.com/company/insight
2307,Kelly,Michigan,3,https://www.linkedin.com/company/kellyservices
2311,Marriott International,MD,5,https://www.linkedin.com/company/marriott-international
2319,CBRE,TX,7,https://www.linkedin.com/company/cbre
2327,Randstad,Noord-Holland,7,https://www.linkedin.com/company/randstad
2329,Schneider Electric,Paris,6,https://www.linkedin.com/company/schneider-electric
2336,McAfee,California,5,https://www.linkedin.com/company/mcafee
2340,Nationwide,0,7,https://www.linkedin.com/company/nationwide
2380,United Airlines,IL,5,https://www.linkedin.com/company/united-airlines
2381,State Farm,Illinois,7,https://www.linkedin.com/company/state_farm
2423,Mercer,NY,6,https://www.linkedin.com/company/mercer
2432,Grant Thornton LLP (US),IL,7,https://www.linkedin.com/company/grant-thornton-llp
2445,Northwestern Mutual,WI,7,https://www.linkedin.com/company/northwestern-mutual
2449,Hilton,VA,7,https://www.linkedin.com/company/hilton
2457,Synopsys Inc,California,7,https://www.linkedin.com/company/synopsys
2459,Zurich North America,IL,7,https://www.linkedin.com/company/zurich-north-america
2465,Digitas North America,Massachusetts,7,https://www.linkedin.com/company/digitas-north-america
2467,The Hartford,CT,7,https://www.linkedin.com/company/the-hartford
2474,UCLA Health,CA,5,https://www.linkedin.com/company/ucla-health
2476,Children's Hospital Los Angeles (CHLA),CA,7,https://www.linkedin.com/company/childrensla
2477,UCLA,CA,7,https://www.linkedin.com/school/ucla/
2483,Wolters Kluwer,0,6,https://www.linkedin.com/company/wolters-kluwer
2494,Bloomberg,NY,7,https://www.linkedin.com/company/bloomberg
2516,University of Michigan,mi,7,https://www.linkedin.com/school/university-of-michigan/
2519,"University of California, Berkeley, Haas School of Business",CA,6,https://www.linkedin.com/school/berkeley-haas/
2528,Ubisoft,Île-de-France,7,https://www.linkedin.com/company/ubisoft
2532,U.S. Bank,MN,6,https://www.linkedin.com/company/us-bank
2534,Experian,CA,7,https://www.linkedin.com/company/experian
2539,iHeartMedia,NY,7,https://www.linkedin.com/company/iheartmedia
2562,Dow,Michigan,7,https://www.linkedin.com/company/dow-chemical
2576,Ingram Micro,CA,7,https://www.linkedin.com/company/ingram-micro
2582,UW Medicine,WA,7,https://www.linkedin.com/company/uw-medicine
2584,University of Washington,wa,7,https://www.linkedin.com/school/university-of-washington/
2593,Momentum Worldwide,New York,7,https://www.linkedin.com/company/momentumworldwide
2609,Panasonic Automotive North America,Georgia,7,https://www.linkedin.com/company/panasonic-automotive-systems
2612,Panasonic Avionics Corporation,California,6,https://www.linkedin.com/company/panasonic-avionics-corporation
2622,Caterpillar Inc.,Texas,7,https://www.linkedin.com/company/caterpillar-inc
2623,Columbia University Irving Medical Center,New York,7,https://www.linkedin.com/company/columbiamed
2633,BASF,0,7,https://www.linkedin.com/company/basf
2645,Liberty Global,0,5,https://www.linkedin.com/company/liberty-global
2646,Walmart,Arkansas,7,https://www.linkedin.com/company/walmart
2648,University of Illinois System,IL,7,https://www.linkedin.com/school/university-of-illinois-system/
2649,University of Illinois Chicago,il,7,https://www.linkedin.com/school/thisisuic/
2650,University of Illinois Urbana-Champaign,IL,7,https://www.linkedin.com/school/university-of-illinois-urbana-champaign/
2651,Caltrans,CA,7,https://www.linkedin.com/company/caltrans
2652,County of San Diego,California,6,https://www.linkedin.com/company/county-of-san-diego
2654,CalPERS,CA,6,https://www.linkedin.com/company/calpers
2660,California Public Utilities Commission,CA,7,https://www.linkedin.com/company/californiapuc
2662,Judicial Council of California,California,7,https://www.linkedin.com/company/judicial-council-of-california
2666,California Department of Justice,CA,6,https://www.linkedin.com/company/california-department-of-justice
2669,Valeo,Île-de-France,5,https://www.linkedin.com/company/valeo
2677,McDonald's,Illinois,7,https://www.linkedin.com/company/mcdonald%27s-corporation
2678,Cargill,Minnesota,6,https://www.linkedin.com/company/cargill
2690,John Hancock,MA,5,https://www.linkedin.com/company/john-hancock
2701,Liberty Mutual Insurance,MA,6,https://www.linkedin.com/company/liberty-mutual-insurance
2709,OpenText,ON,7,https://www.linkedin.com/company/opentext
2722,KLA,California,7,https://www.linkedin.com/company/klacorp
2723,BOMBARDIER,Québec,7,https://www.linkedin.com/company/bombardier
2730,RR Donnelley,Illinois,5,https://www.linkedin.com/company/rr-donnelley
2734,Airbus,0,7,https://www.linkedin.com/company/airbusgroup
2739,Acxiom,Arkansas,7,https://www.linkedin.com/company/acxiom
2743,IKEA,Zuid-Holland,7,https://www.linkedin.com/company/ikea
2748,Colgate-Palmolive,New York,7,https://www.linkedin.com/company/colgate-palmolive
2750,Egencia,WA,7,https://www.linkedin.com/company/egencia
2751,Expedia Group,WA,7,https://www.linkedin.com/company/expedia
2753,Emerson,MO,5,https://www.linkedin.com/company/emerson
2775,TD,Ontario,7,https://www.linkedin.com/company/td
2776,Andersen Corporation,Minnesota,7,https://www.linkedin.com/company/andersen
2786,Federal Reserve Bank of San Francisco,CA,7,https://www.linkedin.com/company/federal-reserve-bank-of-san-francisco
2787,Federal Reserve Bank of Chicago,IL,7,https://www.linkedin.com/company/federal-reserve-bank-of-chicago
2819,Publicis,New York,7,https://www.linkedin.com/company/publicis
2842,"University of California, Davis",California,7,https://www.linkedin.com/school/uc-davis/
2859,BDO USA,IL,7,https://www.linkedin.com/company/bdo-usa
2868,Seagate Technology,CA,7,https://www.linkedin.com/company/seagate-technology
2875,MATRIX Resources,Georgia,7,https://www.linkedin.com/company/matrix-resources
2880,Quest Software,CA,6,https://www.linkedin.com/company/quest-software
2882,ITT Inc.,Connecticut,7,https://www.linkedin.com/company/itt
2889,Aerotek,Maryland,7,https://www.linkedin.com/company/aerotek
2895,Brigham and Women's Hospital,0,7,https://www.linkedin.com/company/brigham-and-women%27s-hospital
2896,Massachusetts General Hospital,MA,6,https://www.linkedin.com/company/massachusetts-general-hospital
2898,Mass General Brigham - Salem Hospital,Massachusetts,7,https://www.linkedin.com/company/northshoremedicalcenter
2899,Spaulding Rehabilitation Hospital,Massachusetts,7,https://www.linkedin.com/company/spaulding-rehabilitation
2911,Albertsons Companies,Idaho,7,https://www.linkedin.com/company/albertsons
2913,Shaw's Supermarkets,0,7,https://www.linkedin.com/company/shaw%27s-supermarkets
2915,Acme Markets,Pennsylvania,7,https://www.linkedin.com/company/acme-markets
2918,The Save Mart Companies,0,7,https://www.linkedin.com/company/the-savemart-companies
2931,Teradyne,MA,6,https://www.linkedin.com/company/teradyne
2933,McGraw Hill,NY,7,https://www.linkedin.com/company/mcgraw-hill-education
2934,S&P Global,NY,7,https://www.linkedin.com/company/spglobal
2958,Texas Workforce Commission,Texas,5,https://www.linkedin.com/company/txworkforce
2962,British Airways,0,7,https://www.linkedin.com/company/british-airways
2981,Saint-Gobain,Île-de-France,7,https://www.linkedin.com/company/saint-gobain
2982,Saint-Gobain Performance Plastics,OH,7,https://www.linkedin.com/company/saint-gobain-performance-plastics
2985,Saint-Gobain Abrasives,MA,7,https://www.linkedin.com/company/saint-gobain-abrasives
2986,CertainTeed,PA,7,https://www.linkedin.com/company/certainteedsaintgobain
2988,VMware,CA,7,https://www.linkedin.com/company/vmware
2995,FEMA,DC,7,https://www.linkedin.com/company/fema
2997,U.S. Customs and Border Protection,D.C.,7,https://www.linkedin.com/company/customs-and-border-protection
3007,Universal Music Group,California,7,https://www.linkedin.com/company/universalmusicgroup
3015,Mastercard,NY,7,https://www.linkedin.com/company/mastercard
3027,Elsevier,North Holland,7,https://www.linkedin.com/company/elsevier
3028,"University of California, San Francisco",California,7,https://www.linkedin.com/school/ucsf/
3029,UCSF Health,CA,7,https://www.linkedin.com/company/ucsfhealth
3032,"Ameriprise Financial Services, LLC",MN,3,https://www.linkedin.com/company/ameriprise-financial-services-llc
3033,Avanade,Washington,7,https://www.linkedin.com/company/avanade
3047,Alcoa,PA,7,https://www.linkedin.com/company/alcoa
3067,Tech Mahindra,Maharashtra,7,https://www.linkedin.com/company/tech-mahindra
3072,Broadcom,California,5,https://www.linkedin.com/company/broadcom
3076,Kforce Inc,Fl,7,https://www.linkedin.com/company/kforce
3084,University of Southern California,CA,6,https://www.linkedin.com/school/university-of-southern-california/
3088,Travelers,NY,7,https://www.linkedin.com/company/travelers
3090,Check Point Software Technologies Ltd,CA,7,https://www.linkedin.com/company/check-point-software-technologies
3102,BD,New Jersey,6,https://www.linkedin.com/company/bd1
3117,Lionbridge,Massachusetts,7,https://www.linkedin.com/company/lionbridge
3123,Linde,England,7,https://www.linkedin.com/company/linde
3128,FIS,FL,5,https://www.linkedin.com/company/fis
3135,Hyatt Regency,0,7,https://www.linkedin.com/company/hyatt-regency
3137,Levi Strauss & Co.,California,5,https://www.linkedin.com/company/levi-strauss-&-co-
3140,Freddie Mac,VA,6,https://www.linkedin.com/company/freddie-mac
3162,The University of Texas at Austin,tx,6,https://www.linkedin.com/school/theuniversityoftexasataustin-/
3163,"Penn Medicine, University of Pennsylvania Health System",PA,7,https://www.linkedin.com/company/university-of-pennsylvania-health-system
3165,University of Pennsylvania,PA,5,https://www.linkedin.com/school/university-of-pennsylvania/
3169,Ceridian,MN,7,https://www.linkedin.com/company/ceridian
3175,Ingersoll Rand,North Carolina,7,https://www.linkedin.com/company/ingersoll-rand
3178,JLL,Illinois,7,https://www.linkedin.com/company/jll
3184,Vanguard,PA,7,https://www.linkedin.com/company/vanguard
3185,Salesforce,California,7,https://www.linkedin.com/company/salesforce
3196,Northwestern University,IL,7,https://www.linkedin.com/school/northwestern-university/
3214,"Mattel, Inc.",California,7,https://www.linkedin.com/company/mattel
3222,AkzoNobel,Noord Holland,5,https://www.linkedin.com/company/akzonobel
3235,Boehringer Ingelheim,Rhineland-Palatinate,7,https://www.linkedin.com/company/boehringer-ingelheim
3240,Farmers Insurance,CA,7,https://www.linkedin.com/company/farmers-insurance
3242,International Paper,Tennessee,7,https://www.linkedin.com/company/international-paper
3246,CNA Insurance,Illinois,7,https://www.linkedin.com/company/cna-insurance
3252,KeyBank,Ohio,6,https://www.linkedin.com/company/keybank
3256,Aegon,South Holland,6,https://www.linkedin.com/company/aegon
3260,Danfoss,0,6,https://www.linkedin.com/company/danfoss
3264,Progressive Insurance,OH,5,https://www.linkedin.com/company/progressive-insurance
3269,DHL Supply Chain,0,7,https://www.linkedin.com/company/dhl-supply-chain
3304,Bechtel Corporation,Virginia,7,https://www.linkedin.com/company/bechtel-corporation
3321,Avery Dennison,Ohio,5,https://www.linkedin.com/company/avery-dennison
3327,Indiana University Foundation,IN,5,https://www.linkedin.com/company/indiana-university-foundation
3334,CDW,IL,7,https://www.linkedin.com/company/cdw
3335,Textron,RI,5,https://www.linkedin.com/company/textron
3337,Bell Flight,Texas,7,https://www.linkedin.com/company/bell-flight
3339,Textron Systems,Texas,7,https://www.linkedin.com/company/textron-systems
3342,Kaplan,FL,6,https://www.linkedin.com/company/kaplan
3364,Fiserv,Wisconsin,7,https://www.linkedin.com/company/fiserv
3379,Nordstrom,Washington,6,https://www.linkedin.com/company/nordstrom
3384,UC San Diego Health,CA,7,https://www.linkedin.com/company/ucsdhealth
3392,Celestica,Ontario,5,https://www.linkedin.com/company/celestica
3398,FICO,Montana,7,https://www.linkedin.com/company/fico
3400,Carat,England,6,https://www.linkedin.com/company/carat
3407,Taco Bell,CA,6,https://www.linkedin.com/company/taco-bell
3409,Yum! Brands,KY,5,https://www.linkedin.com/company/yum-brands
3411,Georgia-Pacific LLC,GA,7,https://www.linkedin.com/company/georgia-pacific-llc
3432,New York Life Insurance Company,New York,7,https://www.linkedin.com/company/newyorklife
3439,Kimberly-Clark,TX,7,https://www.linkedin.com/company/kimberly-clark
3450,Analog Devices,MA,7,https://www.linkedin.com/company/analog-devices
3460,UPMC,PA,7,https://www.linkedin.com/company/upmc
3469,Electrolux Group,0,7,https://www.linkedin.com/company/electroluxgroup
3476,Michael Page,Weybridge,6,https://www.linkedin.com/company/michael-page
3486,Hays,England,7,https://www.linkedin.com/company/hays
3493,Conagra Brands,Illinois,7,https://www.linkedin.com/company/conagra-brands
3498,Safeway,0,7,https://www.linkedin.com/company/safeway
3524,Johns Hopkins Hospital,Maryland,6,https://www.linkedin.com/company/johns-hopkins-hospital
3528,The Johns Hopkins University,md,7,https://www.linkedin.com/school/johns-hopkins-university/
3532,FNBO,Nebraska,6,https://www.linkedin.com/company/fnbo
3534,Continental,0,7,https://www.linkedin.com/company/continental
3536,Edelman,NY,5,https://www.linkedin.com/company/edelman
3537,Macquarie Group,NSW,7,https://www.linkedin.com/company/macquariegroup
3538,CTG,New York,6,https://www.linkedin.com/company/ctginc
3549,IHG Hotels & Resorts,Berkshire,7,https://www.linkedin.com/company/ihghotels&resorts
3556,Boston University,MA,7,https://www.linkedin.com/school/boston-university/
